brand,dispensary,name,type,description,thc,cbd,size,price,image
Slow Ride Bakery,['Matchbox Cannabis - Steeles Ave'],Big Chocolate Cookie,Cookies,"Attention chocolate and cannabis lovers everywhere: Slowride Bakery’s Big Chocolate Cookie is here to satisfy your cravings. These cookies are small-batch and handmade with premium concentrates and three types of chocolate: milk, dark, and dutch cocoa powder. The soft and buttery texture mimics that of a brownie to satisfy your sweet tooth with a cannabis kick. Slowride Bakery sources premium ingredients, never using preservatives. Each 20 g cookie contains 10 mg of THC, with one cookie per package. These cookies can be frozen for up to three months to enjoy later. Slowride Bakery is locally owned and operated in Ottawa, Ontario.  ",10mg ,,Each,$7.50,https://images.weedmaps.com/products/000/286/077/avatar/1628271364-srb_big_chocolate_with_cookie.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Wana Canada,['Matchbox Cannabis - Steeles Ave'],Wana Quick CBG Rise & Shine Clementine 1:1 Sativa,Gummies,"Good morning, sunshine! Start your day with Wana Quick Rise & Shine Clementine 1:1 Sativa gummies. Bursting with sweet, juicy clementine flavour and infused with CBG, THC, and a proprietary sativa terpene blend, Rise & Shine Clementine gummies are your daily dose of good vibes. Made with a culinary innovation that may result in a quicker onset and offset of effects*, each gummie contains 5 mg of CBG and 5 mg of THC. 2 gummies per package. Vegan and gluten-free.",10mg ,1% ,Each,$9.50,https://images.weedmaps.com/products/000/387/936/avatar/1654871422-wana_quick-rise___shine-branded-1600x1600.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Wana Canada,['Matchbox Cannabis - Steeles Ave'],Lemon Iced Tea Flavour 1:1 Hybrid,Gummies,"Wana Lemon Iced Tea Flavour 1:1 Hybrid gummies overflow with the familiar, refreshing flavour of summer. These gummies are handcrafted with pectin (never gelatin) for an elevated texture and enhanced with a hybrid blend featuring over 30 terpenes. Wana Lemon Iced Tea Flavour 1:1 Hybrid gummies are vegan and gluten-free, with 5 mg of THC and 5 mg of CBD per gummie, and 2 gummies per package.",10mg ,2% ,Each,$8.50,https://images.weedmaps.com/products/000/387/938/avatar/1654871884-wana_sour_lemon_iced_tea-branded-1600x1600.jpg?fill=solid&fit=crop&auto=format&w=240&h=240
Slow Ride Bakery,['Matchbox Cannabis - Steeles Ave'],White Chocolate Macadamia Nut Cookie,Cookies,"White chocolate chunks, rich buttery macadamia nuts, and cannabis come together in this classic with a twist. Each 20 g cookie contains 10 mg of THC, with one cookie per package. Slow Ride White Chocolate Macadamia Nut Cookies are handmade in small batches in Ottawa, Ontario using cannabis distillate, never cannabis butter, and premium ingredients for an exceptional product. Every package of soft-baked Slow Ride cookies contains one 20 g cookie with 10 mg of THC per cookie. They can be frozen for up to three months to enjoy later.",37% ,,Each,$7.50,https://images.weedmaps.com/products/000/378/720/avatar/1652213035-srb-whitechocolatemacnut-bp_cookie-1600x1600.jpg?fill=solid&fit=crop&auto=format&w=240&h=240
,[],Banana Hammock Infused Live Resin Cones - Banana Hammock Infused Live Resin Cones 5x0.5g Resin,Pre Roll,,210mg ,,Each,$26.95,https://images.weedmaps.com/pictures/listings/371/324/760/402690186_nqiwne0icovlf28unbxx.jpg?fill=solid&fit=crop&auto=format&w=240&h=240
,[],Animal Mints 28g Dried Flower - Animal Mints 28g Dried Flower,Flower,,100mg ,,Each,$142.99,https://images.weedmaps.com/pictures/listings/145/336/956/414165719_bt6g5snv33wu4s5o9dks.jpg?fill=solid&fit=crop&auto=format&w=240&h=240
,[],Balanced 3.5g Dried Flowe - Balanced 3.5g Dried Flower,Flower,,22.6% ,0.05% ,Each,$22.99,https://images.weedmaps.com/pictures/listings/213/082/681/426292797_zjqcqg616hfsmbev3hmr.jpg?fill=solid&fit=crop&auto=format&w=240&h=240
,[],Edison Cannabis Co - Limelight Sativa - 1g,Flower,,260mg ,100mg ,Each,$11.35,https://images.weedmaps.com/pictures/listings/668/607/936/420689814_cc4b6dc3-cc75-43aa-a4fb-8fce61c324ac.jpeg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],HOMESTEAD Bandwagon Hybrid - 28G,Flower,,19% ,1.5mg ,Each,$149.99,https://images.weedmaps.com/pictures/listings/445/273/023/426314363_khs29chpyjtxqeloktl0.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Tiger Cake Pre-Roll,Pre Roll,,,5mg ,Each,$23.00,https://images.weedmaps.com/pictures/listings/327/225/154/365698929_104e7a31-2456-4c83-92b3-a090d6a84cf4.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Vortex - Vortex Full Spectrum THC Jelly Cubes - 20 caps,Capsules,,24% ,,20 g,$17.99,https://images.weedmaps.com/pictures/listings/597/239/130/426002523_00841569000977_a1c0_compressed_103308.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],DOSECANN CBD 50 Capsules 30 caps,Topicals,,330mg ,0.05% ,Each,$34.99,https://images.weedmaps.com/pictures/listings/426/845/857/426313559_ratvjzknce4nxhxllmmd.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
TRURO,['Your Local Cannabis - Stouffville'],True OG,Flower,"Truro True OG is a unique Indica-Dominant hybrid of True OG and Wedding Cake. This combination results in an earthy, sweet, and citrus aroma with frosty bright green buds. True OG was proudly grown on the east coast in Truro, Nova Scotia in their state-of-the-art production facility. Each bud has been carefully dried, cured, trimmed and packaged to the high-quality specifications of their elite grow team.",74% ,,Each,$45.65,https://images.weedmaps.com/products/000/206/862/avatar/1607950506-Screen_Shot_2020-12-14_at_7.54.43_AM.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Sherbhead 3.5g Dried Flower - Sherbhead 3.5g Dried Flower,Flower,,18.73% ,0.5% ,Each,$41.99,https://images.weedmaps.com/pictures/listings/313/904/698/426594671_wz97sovrmnnwt4xebevb.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Blendcraft,['Your Local Cannabis - Stouffville'],Sativa Shatter,Shatter,"No compromises, no additives. Premium Qwest cannabis was extracted to produce this beautifully pure, concentrated, blend.",32% ,,Each,$60.00,https://images.weedmaps.com/products/000/242/315/avatar/1615578962-Sativa_Shatter.jpeg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],JEAN GUY,Flower,,21.3% ,0.5% ,1/8 oz,$24.64,https://images.weedmaps.com/products/000/145/977/avatar/1579811895-Artboard_5sensi.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],SHRED X Tropic Thunder Infused Flower 2g,Concentrates,,20.12% ,5mg ,Each,$14.99,https://images.weedmaps.com/pictures/listings/426/845/857/419958349_o0ethjowfpsnb4fzd7vu.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Sundial,"['Little House Cannabis - 307 Wellesley St E', 'Matrix Cannabis Company']",Blue Nova,Flower,"Blue Nova is a sativa-dominant hybrid with a sweet berry aroma and sugary flavour. The bud is dense, sticky and rich with trichomes, with THC levels reaching up to 20%.",20% ,,1/8 oz,$24.99,https://images.weedmaps.com/products/000/203/416/avatar/1607372244-Screen_Shot_2020-12-07_at_3.15.41_PM.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],JACK HAZE,Flower,,84.2% ,,1/8 oz,$28.99,https://images.weedmaps.com/products/000/145/960/avatar/1579811878-Artboard_5_copysensi.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Powdered Donuts,Flower,,28.19% ,1% ,Each,$27.40,https://images.weedmaps.com/products/000/329/050/avatar/1641497785-twe_leafly_powdereddonuts_ecomm_images_20435_v003.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
dosist,"['Wonder Pot', 'Wonder Pot']",bliss plus w/ LRTE by dosist - dose pen,Disposable,"bliss plus features the purest high potency distillate combined with live resin terpene extract from pink lemonade for an uplifting, focused and energizing effect with fruity and citrus notes.

Our dose pen is custom designed for our high potency plus formulas featuring: smart heat ramp, thermal protection, clean ceramic wick and a medical grade stainless steel heating element for a potent and satisfying cannabis experience.

The dose pen 100 is a precision wellness device engineered to deliver 100 exact 2.5mg doses.
 Formula good for: euphoria, vitality & energy
  ",,,1/4 g,$49.97,https://images.weedmaps.com/products/000/173/604/avatar/1653534780-dose_pen_bliss_plus.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Qwest Cannabis,['Wonder Pot'],Point Break,Flower,"Point Break is a one of a kind cultivar with a fragrance of minty creamy oranges. It's a challenge to describe the complex yet inviting terpene profile until experienced. The sweet undertones may come as a surprise at first smell with its deep skunky aromas. And when indulged, the first taste on inhale is a coating of flavour from oranges to fuel on the exhale. A unique taste and profile, unlike the ordinary.",,,1/8 oz,$74.57,https://images.weedmaps.com/products/000/207/951/avatar/1608124269-Screen_Shot_2020-12-16_at_8.09.30_AM.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Tribal - Tribal Uni Pro ARK - Black,Vape Pens,,,,Each,$34.99,https://images.weedmaps.com/pictures/listings/149/969/827/426519404_73027e83-8c6b-482d-b9c7-4937d773f48c.jpeg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Station House,"['Sessions Cannabis - Dundurn St.', 'Spiritleaf - Bloor West Village', 'Wavy Buds Recreational Cannabis - Kingston Road']",OG Kush Pre-Roll,Pre Roll,"Station House pre-rolls made from whole flower OG Kush – in convenient packs of 6 or 12. A strong indica with aromas of pepper and pine. Precisely weighed and machine-rolled for an ideal, even burn. Packed with a humidity device to extend freshness. Quality cannabis, everyday fares.",,,Each,$22.87,https://images.weedmaps.com/products/000/207/470/avatar/1608048035-Screen_Shot_2020-12-15_at_11.00.04_AM.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
RIFF,"['Good Cookie - Town Center', 'Good Cookie - Malvern', 'Good Cookie']",510 Vape Battery,Push Button,"When they’re not collaborating, they’re innovating. Fire up RIFF’s iconic duos with this 510 Battery. RIFF 510 Battery Features and Includes: - 510 thread pair with RIFF carts - 350 mAh Battery - USB Charger included *Cartridge sold separately.",76.29% ,,Each,$11.50,https://images.weedmaps.com/products/000/205/701/avatar/1607695985-Screen_Shot_2020-12-11_at_9.12.26_AM.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],PURE SUNFARMS Pink Kush Pre-Roll 10x0.3g,Pre Roll,,230mg ,1% ,Each,$23.95,https://images.weedmaps.com/pictures/users/010/650/721/234701692_pink_kush_pre_roll.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Greybeard Cannabis,"['Chamba Cannabis Co Inc', 'Culture Rising - Milton']",SLK - Live Resin 510 Vape Cartridge,Cartridge,"Greybeard’s Vape Cartridges start from the same premium Live Resin as their Terp Slush dab products, which means they are carefully made with extract sourced from fresh cannabis grown outdoors in Simcoe, Ontario.
As they harvest, their crop is flash-frozen, suspending the cannabinoids and terpenes until finally extracted through their proprietary hydrocarbon process.
The result is an aromatic and flavourful Live Resin, retaining twice the terpene content vs. CO2 extracted dried flower, and allowing them to capture a lush and vivid representation of their beautiful SLK trees at the peak of their outdoor bloom.
Greybeard uses premium AVD 510 Thread cartridges with a 2.0 aperture to ensure a smooth and consistent draw with maximum flavour and a minimum of off-notes, and their unique sliding-top Greybeard tin offers you a premium, reusable and fully recyclable package that minimizes waste.",18% ,50mg ,1/2 g,$34.77,https://images.weedmaps.com/products/000/205/141/avatar/1607629311-Screen_Shot_2020-12-10_at_2.41.24_PM.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Flo Pre-Rolls 12x0.35g Pre-Rolls - Flo Pre-Rolls 12x0.35g Pre-Rolls,Flower,,,10mg ,Each,$26.99,https://images.weedmaps.com/pictures/listings/814/366/176/423281094_oblaedzzx7aoeoybsh86.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Broken Coast - Up In The Sky (Denman) Pre-Roll Sativa - 1x0.5g,Pre Roll,,,,Each,$7.52,https://images.weedmaps.com/pictures/listings/668/607/936/426725527_2cfae683-3ded-4968-b511-a77f30652529.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Tantalus Labs,"['Wonder Pot', 'Wonder Pot']",Pacific OG Pre-Roll,Pre Roll,"Pacific OG is a sativa-dominant hybrid, a Tantalus curation of Goji OG, bred from Nepali OG and Snow Lotus. Nepali OG, aka Nepali Kush, is a long-lineage classic close to Tahoe OG that brings conical-shaped buds and earthy notes of an OG aroma, while Snow Lotus lays an undercurrent of black cherry and subtle hints of liquorice. The colas of Pacific OG are caked, hand-harvested, and cured, providing a full flavour due in part to dominant terpenes of pinene and nerolidol.",,,Each,$18.00,https://images.weedmaps.com/products/000/205/219/avatar/1607632682-Screen_Shot_2020-12-10_at_3.37.32_PM.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Ace Valley,"['Little House Cannabis - 307 Wellesley St E', 'Chamba Cannabis Co Inc']",Blueberry Lavender Gummies,Gummies,"The Ace Valley Blueberry Lavender gummies have 5mg THC and 0.5 CBD per gummy, available in packs of 2.",18.27% ,,Each,$7.49,https://images.weedmaps.com/products/000/285/617/avatar/1628110042-5f64024b5052682b0d2d595c_2020_acevalley_gummies_bl_ecomm2_new-p-800.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Solei,"['Erbn Green Cannabis Co - Dundas W', 'Sessions Cannabis - Albion', 'Sessions Cannabis - Port Perry']",Free Oil,Edible Oils,Free Oil is sun-grown in an eco-friendly greenhouse and the strain’s buds have rich green hues. Solei Free has a max of 11 mg/ml of CBD and little to minimal THC potency. All oil products sold at OCS.ca are for ingestion only. DO NOT smoke or vape these oils. Use as directed.,,5mg ,Each,$14.50,https://images.weedmaps.com/products/000/204/599/avatar/1607545761-Screen_Shot_2020-12-09_at_3.28.44_PM.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Bhang Cookies and Cream White Chocolate,Chocolates,,,100mg ,Each,$4.29,https://images.weedmaps.com/products/000/187/843/avatar/1672858868-cookies.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
48North,['Wonder Pot'],Granddaddy Purple Pre-Roll,Flower,"Granddaddy Purple by 48North is an indica-dominant strain grown indoors under LED lighting. This machined-trimmed, hand-groomed flower has a strong THC potency potential and minimal CBD levels. This flower’s grape and berry terpene profile is mainly composed of beta-caryophyllene (scents of peppery spice and wood), beta-pinene (scents of dill, parsley, basil) and alpha-pinene (scents of pine, rosemary).",25mg ,5mg ,1.05 g,$17.57,https://images.weedmaps.com/products/000/205/797/avatar/1607705773-Screen_Shot_2020-12-11_at_11.55.20_AM.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Houndstooth & Soda,Drinks,,,0.25% ,Each,$2.59,https://images.weedmaps.com/products/000/204/957/avatar/1607604066-Screen_Shot_2020-12-10_at_7.40.22_AM.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Bakerstreet & Ginger,Drinks,,,0.25% ,Each,$2.59,https://images.weedmaps.com/products/000/204/956/avatar/1607603995-Screen_Shot_2020-12-10_at_7.39.27_AM.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Penelope Oral Spray,Oral Spray,,22% ,600mg ,Each,$35.00,https://images.weedmaps.com/products/000/204/958/avatar/1607604137-Screen_Shot_2020-12-10_at_7.41.35_AM.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Grasslands,['Matchbox Cannabis - Steeles Ave'],Sativa,Flower,"Grasslands Sativa is grown indoors by Calgary’s Sundial Growers. It’s machine-trimmed, hand-groomed and dried on a rack and tray.",25.5% ,5mg ,1 oz,$93.99,https://images.weedmaps.com/products/000/204/432/avatar/1607535836-Screen_Shot_2020-12-09_at_12.43.32_PM.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Lemon Iced Tea,Drinks,,,0.5% ,Each,$8.50,https://images.weedmaps.com/products/000/272/816/avatar/1640717377-3d_renderweb_png-twe_icedtea-lemon-can_en_ren_rgb.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Spinach,"['Your Local Cannabis - Scarborough, Kennedy & Lawrence']",Blue Dream Pre-Roll,Pre Roll,"Spinach™ products are not your average greens! Spinach has High Expectations™ for their Farm-to-Bowl™ products, and safety testing is one of the few things they take seriously. This sweet sativa is known for its herbal, pine and peppery aromas that come from the cultivars’ terpene profile rich in pinene, myrcene and caryophyllene. Available in multiple pre-rolls and dried flower formats that are perfect for sharing!",,,Each,$10.14,https://images.weedmaps.com/products/000/205/030/avatar/1607614552-Screen_Shot_2020-12-10_at_10.35.44_AM.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Craft Collective : Ice Cream Cake,Flower,,,0.5% ,1/8 oz,$36.90,https://images.weedmaps.com/products/000/242/271/avatar/1615576430-Craft_Collective_-_Ice_Cream_Cake.jpeg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Bhang Canada,"['Bodega Boyz - Georgetown', 'Chamba Cannabis Co Inc', 'Your Local Cannabis - Trenton']",THC Caramel Mocha Milk Chocolate,Chocolates,"Bhang® THC Caramel Mocha Milk Chocolate is infused with real italian espresso, golden caramel, and a hint of vanilla. This bar contains 10 mg of THC and is scored into four pieces.

Ingredients:
Milk chocolate (sugar, milk, cocoa butter, unsweetened chocolate), Natural vanilla flavour, Sunflower lecithin, Soy lecithin, Artificial vanilla flavour, Extra bittersweet chocolate (unsweetened chocolate, sugar), Sunflower lecithin, Natural vanilla flavour, Semi-sweet chocolate (unsweetened chocolate, sugar, cocoa butter), Natural vanilla flavour, Sunflower lecithin, Natural espresso flavour (sunflower oil, flavour), Unsweetened chocolate, Cocoa butter, Natural caramel flavour (sunflower lecithin, flavour), Cannabis extract.",80.72% ,,Each,$4.31,https://images.weedmaps.com/products/000/271/678/avatar/1623870764-caramel_mocha_milk_branded_bkgrnd_1600x1600.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
HEXO,['Green Maple Cannabis'],510 Vape Battery,Pull,"The breath-activated Vape Battery has a 340 mAh capacity, an approximate lifespan of 300 charging cycles. The battery contains a Li-ion cell and comes with a 510 thread USB charger. This battery can be used in combination with any HEXO 510 thread cannabis cartridge sold separately.",100mg ,,Each,$14.99,https://images.weedmaps.com/products/000/205/731/avatar/1607699571-Screen_Shot_2020-12-11_at_10.12.25_AM.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],CBD 50 Capsules,Edibles,,10mg ,,Each,$39.95,https://images.weedmaps.com/pictures/listings/514/188/968/358204388_441af852-c083-472c-b8e1-2db32c7dcfbb.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Good Supply,"['Culture Rising - Milton', 'Your Local Cannabis - Scarborough, Kennedy & Lawrence', 'YBH Green']",Purple Monkey 510 Thread Cartridge,Cartridge,"You'll go ape for smooth, sweet grape in a hard hitting, potent THC distillate. 100% plant-based terpenes, no monkeying around. Good Vapes from Good Supply.",360mg ,0.1% ,1 g,$35.00,https://images.weedmaps.com/products/000/205/003/avatar/1607612894-Screen_Shot_2020-12-10_at_10.07.31_AM.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Bath Bomb-The Boss,Topicals,,230mg ,,Each,$20.00,https://images.weedmaps.com/pictures/listings/749/866/521/410146130_81eb7984-ce0a-4291-88e3-250a4534f321.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Vortex Full Spectrum THC Jelly Cubes,Tincture,,,58% ,Each,$18.15,https://images.weedmaps.com/pictures/listings/749/866/521/425960521_f233cba7-efd3-4330-8bfe-4e406592c237.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Hazel - Hash Stick 1g Hash and Kief - Hash Stick 1g Hash and Kief,Concentrates,,18% ,1% ,Each,$28.99,https://images.weedmaps.com/pictures/listings/332/969/433/426447984_grvp7ckv2puew7oengld.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Jungle Breath Flower - Jungle Breath Flower 3.5g Dried Flower,Flower,,,,Each,$29.95,https://images.weedmaps.com/pictures/listings/537/575/767/418436633_usne39pwpefsbmuhkpur.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Papa's Herb - Indica RNTZ Disposable Pen - 1g,Flower,,28.8% ,0.1% ,1 g,$41.99,https://images.weedmaps.com/pictures/listings/597/239/130/425932741_00848876002953_00_compress_300722.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Broken Coast - Up In The Sky (Denman) Pre-Roll Sativa - 1x0.5g,Pre Roll,,10mg ,0.4mg ,Each,$7.52,https://images.weedmaps.com/pictures/listings/668/607/936/426725527_2cfae683-3ded-4968-b511-a77f30652529.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
PAX,['Village Buds'],PAX Era,Pull,"A radical new approach to experience concentrates. Exclusively compatible with PAX Era Pods, Era delivers the most flavorful and consistently satisfying taste yet. Wide temperature range and precise controls let you personalize your experience and find your perfect settings. Era is lightweight and pocket-sized for an on-demand experience anytime, anywhere. Expect the power of a table-top vaporizer in the slimmest profile yet. Switch out your extract in seconds with SimpleClick™ interchangeable pods. Real-time LED communication makes understanding Era a snap.
 ",,0.03% ,Each,$39.95,https://images.weedmaps.com/products/000/098/898/avatar/1556733568-Screen_Shot_2019-05-01_at_10.59.09_AM.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],1964 - Organic Sour Cookies Sativa -1g,Flower,,34% ,1.7% ,Each,$11.89,https://images.weedmaps.com/pictures/listings/412/178/978/426647564_7fa2d89e-09f7-490c-a1ce-17cb77a60b21.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Pearls,['Red Rock Cannabis Co'],Sour Apple THC,Gummies,"Stay crisp, cool and collected with Sour Apple Pearls, sugar-coated gummies with a juicy, sour apple flavour that explodes on your tongue. Each gummy contains 2 mg of THC. Pearls are bursting with natural flavour, and coated in sugar for a sweet treat no matter where you are. Bring them on the go, enjoy them with friends, or indulge in a night in by yourself because Pearls go with everything. 5 gummies per pack.",70% ,,Each,$6.95,https://images.weedmaps.com/products/000/401/809/avatar/1658508988-pearls-sourapple-branded-1600x1600.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Ghost Drops - Slime Bag - Hybrid - 14g,Flower,,23% ,,1/2 oz,$114.99,https://images.weedmaps.com/pictures/listings/283/361/550/425350053_ee7b9108-cb62-4497-b81d-2e9ed6b7a7ef.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Hazel | Hash Stick - Hazel | Hash Stick | 1g,Concentrates,,215mg ,7% ,Each,$29.00,https://images.weedmaps.com/pictures/listings/370/706/946/369670122_yjqyzw45hnjbhdhx59td.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],ARTISAN BATCH OG Funk Live Rosin 1g,Concentrates,,18.75% ,0.09% ,Each,$51.99,https://images.weedmaps.com/pictures/listings/426/845/857/426592396_qanadtgw2wbkullnut3v.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Hindu Kush,Infused Flower,,805mg ,5mg ,1 g,$9.50,https://images.weedmaps.com/products/000/204/955/avatar/1641495618-twe_leafly_hindukush_ecomm_images_20435_v003.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Animal Mints 3.5g Dried Flower - Animal Mints 3.5g Dried Flower,Flower,,5% ,,Each,$19.99,https://images.weedmaps.com/pictures/listings/213/082/681/425523250_jstpwcxt6u6pushocuhi.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Station House - GG#4 Single Pre-Roll - Indica - 6x0.5g,Pre Roll,,,,Each,$24.10,https://images.weedmaps.com/pictures/listings/583/309/840/385936284_898d1e4e-e7a2-4853-af22-7f245a4c2e2b.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Daily Special,"['Chamba Cannabis Co Inc', 'Your Local Cannabis - Scarborough, Kennedy & Lawrence', 'Matrix Cannabis Company']",Super Sour Diesel 510 Thread Cartridge,Cartridge,"Daily Special Super Soul Diesel vapes are a high-value cannabis product, delivering high- THC for low prices. This sativa strain features a notably skunky and earthy flavour profile derived from great quality cannabis. A large cartridge size (0.5g) allows for a longer-lasting vaping experience. All Super Sour Diesel cartridges are built to deliver a consistent and superior experience, featuring stainless steel construction and ceramic atomizer to prevent leeching.",2.5% ,,Each,$23.99,https://images.weedmaps.com/products/000/204/397/avatar/1607532789-Screen_Shot_2020-12-09_at_11.52.43_AM.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Raspberry Iced Tea,Drinks,,26% ,5mg ,355 g,$5.50,https://images.weedmaps.com/products/000/272/819/avatar/1640717448-3d_renderweb_png-twe_icedtea-raspberry-can_en_ren_rgb.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],WONDERLAND Bath Bombs 5-Pack - LAVENDER,Gear,,,0.1% ,Each,$5.99,https://images.weedmaps.com/pictures/listings/700/027/716/417190734_nircokerq7jkl7omgcwt.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Grapefruit Sparkling Water,Drinks,,21% ,2mg ,355 g,$3.75,https://images.weedmaps.com/products/000/342/995/avatar/1643138164-3d_renderweb_png-twe_sparklingwatergrapefruit-beauty-front_en_ren_rgb.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Mood Ring,['Culture Rising - Milton'],Florida Citrus Kush Pre-Roll,Pre Roll,"The wonder that is Florida Citrus Kush™—rolled and ready to enjoy in what we’re pretty sure is the world’s finest paper ever. 

Florida Citrus Kush™ is proof you don’t have to quit your job and travel the world barefoot to find what you’re looking for. Teeming with trichomes, this strong indica-dominant hybrid delivers a rich creamy flavour of spicy citrus, a true but subtle Kush aftertaste, and a mellow experience that lasts. 
 Just so you know, nothing but the best bud goes into these pre-rolls. No trim or shake ever. Just premium whole Florida Citrus Kush™ flower—hand trimmed, hang dried and rolled with love in what we’re pretty dang sure is the world’s finest paper. It’s made from 100% organic hemp and sourced from a mill located in a small mountain village, where the water is cold and pure and perfect for making rolling paper. They’ve been doing it since the 1800s—a craft passed down from generation to generation. 
 Highly excellent bud wrapped in organic hemp rolling paper crafted by proud artisans basking in the alpenglow of one of the most heavenly mountain ranges in the world. Seriously, could our Florida Citrus Kush™ pre-rolls be the best thing ever or what?

Available in 2 x 0.5g format  
THC 19-29%
Dominant Terpenes: Limonene, Linalool, Myrcene, Caryophyllene, Fenchol",,37% ,Each,$19.95,https://images.weedmaps.com/products/000/339/491/avatar/1642172853-mr_wm_fck_pre-rolls_floating.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Cookies Canada,['Culture Rising - Milton'],GP20 1g Preroll,Pre Roll,GP20 has a strong gas aroma with a super-smooth burnt rubber finish. GP20 is known for its dense dark purple and green buds with fiery orange hairs.,,,1 g,$17.95,https://images.weedmaps.com/products/000/296/393/avatar/1654190907-cookies-gp20-preroll-infographic.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
