brand,dispensary,name,type,description,thc,cbd,size,price,image
Wana Canada,['High Park Cannabis Co'],Wana Sour Gummies Japanese Citrus Yuzu 2:1,Gummies,"Uncover hints of distinct acidity and unique sweetness in Japanese Citrus Yuzu 2:1 Wana Sour Gummies; handcrafted with pectin and a terpene-enhanced distillate. 20 mg CBD, 10 mg THC per package. ",,20mg ,Each,$8.97,https://images.weedmaps.com/products/000/260/663/avatar/1620238650-1200px-x-1200px-yuzu.jpg?fill=solid&fit=crop&auto=format&w=240&h=240
Greybeard Cannabis,['Wonder Pot'],THCA Diamonds,Concentrates,"These ultra-processed little gems are for experienced smokers only. Greybeard’s Live Resin Diamonds are made of isolated THCa and formed into ""precious stones"" that can be broken into the perfect sized dab. Dropping one of these exquisite stones into your rig of choice results in an incredibly smooth inhale accompanied by a very potent high.",87.16% ,,3/4 g,$74.97,https://images.weedmaps.com/products/000/267/952/avatar/1622642196-thc_diamonds.jpeg?fill=solid&fit=crop&auto=format&w=240&h=240
Wana Canada,"['Matchbox Cannabis - Rogers Rd', 'Matchbox Cannabis - Steeles Ave', 'Culture Rising - Milton']",Wana Quick Midnight Berry Indica,Gummies,"Wana Quick Midnight Berry Gummies have a sweet berry flavour combined with a custom blend of 10 mg CBD, 2 mg THC, and 5 mg CBN per gummie. Best consumed at night, they're handcrafted with pectin (never gelatin) for an elevated texture. Wana Quick Midnight Berry Gummies are enhanced with over 30 specialized terpenes recommended for nighttime use. Using Azuca Time Infusion, a culinary innovation, Wana Quick gummies may result in a quicker onset and offset of effects.* Each package contains 2 gummies.

*Health Canada: It can take up to 4 hours to feel the full effects from eating or drinking cannabis. Consuming more within this time period can result in adverse effects that may require medical attention. The effects from eating or drinking cannabis can be long-lasting. The effects can last between 6 and 12 hours following use.",10mg ,40mg ,Each,$9.50,https://images.weedmaps.com/products/000/339/521/avatar/1642180359-midnightberry-branded-1600x1600.jpg?fill=solid&fit=crop&auto=format&w=240&h=240
Deep Space,"['Erbn Green Cannabis Co - Dundas W', 'Spiritleaf - Stockyards', 'Spiritleaf - Imperial Centre']",Deep Space,Drinks,"Small, potent and ready-to-go. Prepare for the bold taste of this dark, full-flavoured 10 mg THC, carbonated drink in a 222 mL sleek can.",10mg ,,Each,$7.15,https://images.weedmaps.com/products/000/204/634/avatar/1607548994-Screen_Shot_2020-12-09_at_4.22.58_PM.png?fill=solid&fit=crop&auto=format&w=240&h=240
Cookies Canada,"['Culture Rising - Milton', 'Your Local Cannabis - Stouffville']",GP20,Flower,GP20 has a strong gas aroma with a super-smooth burnt rubber finish. GP20 is known for its dense dark purple and green buds with fiery orange hairs.,,,1/8 oz,$59.95,https://images.weedmaps.com/products/000/283/266/avatar/1654190394-cookies_gp20_countertop.jpeg?fill=solid&fit=crop&auto=format&w=240&h=240
Pearls,"['Erbn Green Cannabis Co - Dundas W', 'Mota Toke']",Pomegranate 4:1 CBD/THC,Gummies,"Cozy up and wind down with sweet and refreshing Pomegranate Pearls. Infused with CBD and THC in a 4:1 ratio, each sugar-coated pearl contains 8 mg of CBD and 2 mg of THC. Pearls are bursting with natural flavour, and coated in sugar for a sweet treat no matter where you are. Bring them on the go, enjoy them with friends, or indulge in a night in by yourself because Pearls go with everything. 5 gummies per pack.",10mg ,,Each,$4.95,https://images.weedmaps.com/products/000/401/800/avatar/1658507810-pearls-pomegranate-branded-1600x1600.jpg?fill=solid&fit=crop&auto=format&w=240&h=240
Deep Space,"['Erbn Green Cannabis Co - Dundas W', 'Spiritleaf - Imperial Centre', 'Spiritleaf - Brickyard']",Limon Splashdown,Drinks,"Welcome to Deep Space. Get ready for splashdown. Deep Space Limon Splashdown is small, potent and ready to consume. Full-flavoured and rooted in lime & lemon flavours with a unique Deep Space twist, it is a 10mg THC-infused carbonated beverage in a 222ml sleek can.",10mg ,4mg ,Each,$8.00,https://images.weedmaps.com/products/000/313/587/avatar/1635277352-20290_dps_2_beauty_label_render_opta1.jpg?fill=solid&fit=crop&auto=format&w=240&h=240
Wana Canada,['High Park Cannabis Co'],Wana Quick Strawberry Lime 1:1,Gummies,"Bursting with sweet and citrusy flavour, Wana Quick Strawberry Lime THC/CBD 1:1 gummies are infused with a balanced ratio of 10 mg CBD & 10 mg THC distillate. These gummies are handcrafted using a recipe made with pectin, never gelatin, and enhanced with over 30 terpenes. Using a culinary innovation by Azuca Time Infusion TM, Wana Quick gummies may result in a quicker onset and offset of effects*.

*Health Canada states that ingested cannabis takes 30 minutes to 2 hours to take effect and can last for up to 12 hours. In some cases, the effects of cannabis can last up to 24 hours. Cannabis affects everyone differently so always start low and go slow.

Total mg THC per package: 10mg
Total mg CBD per package: 10mg",,1mg ,Each,$9.57,https://images.weedmaps.com/products/000/260/666/avatar/1620239450-strawberry-lime-arch-1600x1600.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Quatreau,"['Ambrosia Cannabis Emporium', 'Sessions Cannabis - Stoney Creek', 'Sessions Cannabis - Carlisle']",Blueberry Acai Sparkling Water,Drinks,"Quatreau Blueberry Acai is a deliciously refreshing cannabis-infused sparkling water beverage. With 2 mg of CBD and 2 mg of THC, it’s a satisfying and delicious choice. Because Quatreau believes in simplifying choices, so you can focus on the things that really matter.",,,Each,$5.17,https://images.weedmaps.com/products/000/207/963/avatar/1608125763-Screen_Shot_2020-12-16_at_8.35.30_AM.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Wana Canada,"['Matchbox Cannabis - Rogers Rd', 'Wonder Pot', 'Green Maple Cannabis']",Wana Quick Orchard Peach Sativa,Gummies,"Wana Quick Orchard Peach gummies are ripe with juicy peach flavour and infused with 10 mg of sativa enhanced THC distillate per package. These gummies are handcrafted using a recipe made with pectin, never gelatin, and enhanced with over 30 terpenes. Using a culinary innovation by Azuca Time Infusion TM, Wana Quick gummies may result in a quicker onset and offset of effects*.

*Health Canada states that it can take up to 4 hours to feel the full effects from eating or drinking cannabis. Consuming more within this time period can result in adverse effects that may require medical attention. The effects from eating or drinking cannabis can be long-lasting. The effects can last between 6-& 12-hours following use.

Total mg THC per package: 10mg",,,Each,$9.57,https://images.weedmaps.com/products/000/260/670/avatar/1620239703-orchard-peach-arch-1200x1200.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
